time,time,channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,channel9,channel10,channel11,channel12,gainSetting
2020-09-23 11:18:06.835300,2020-09-23 11:18:06.835300,0.0014920653989808083,0.1688330347939622,0.16584224644252743,0.000579062348669704,1.107520101876241,1.1432465644690186,1.1432465644690186,1.1432465644690186,,,1.1432465644690186,1.071794146095684,0000
2020-09-23 11:18:06.928500,2020-09-23 11:18:06.928500,0.218824800586001,22.864915616531867,15.222389032058846,0.10179601644572436,0.9796388914376196,0.3307972691151767,1.143186219743353,1.1431862878861725,,,1.1431864923146313,1.143186560457451,0fff
2020-09-23 11:18:07.031600,2020-09-23 11:18:07.031600,0.001489598628911956,0.16883541979264755,0.16584292787072324,0.0005799447981832852,1.107520101876241,1.1432465644690186,1.1432465644690186,1.1432465644690186,,,1.1432465644690186,1.1432465942815022,0000
2020-09-23 11:18:07.133700,2020-09-23 11:18:07.133700,0.2286491561653187,15.217591777560305,20.358069392627037,0.09798176981962017,0.3343079871800188,1.143186219743353,1.1431862878861725,1.143186356028992,,,1.143186560457451,1.1431866286002705,0000
2020-09-23 11:18:07.229800,2020-09-23 11:18:07.229800,0.0014879223155502494,0.16883473836445173,0.16584395001301697,0.000577469510261985,1.107520101876241,1.1432465644690186,1.1432465644690186,1.1432465644690186,,,1.1432465644690186,1.0717942823813231,0000
2020-09-23 11:18:07.332800,2020-09-23 11:18:07.332800,0.0014902255428521063,0.16881906551594797,0.16586234857430399,0.000579365584216842,1.107520101876241,1.1432465644690186,1.1432465644690186,1.1432465644690186,,,1.1432465644690186,1.0717940438814546,0000
2020-09-23 11:18:07.435000,2020-09-23 11:18:07.435000,0.001487380580134576,0.16885722549491364,0.16587665856641615,0.000576730160669525,1.107520101876241,1.1432465644690186,1.1432465644690186,1.1432465644690186,,,1.1432465644690186,1.1432467305671414,0000
2020-09-23 11:18:07.528100,2020-09-23 11:18:07.528100,0.2277178209929697,22.86493597419922,0.14858644023988862,0.0008442520560647774,0.008292964107371141,0.005742344299023503,1.107520101876241,1.1432465644690186,,,1.1432465644690186,1.1432465644690186,0fff
2020-09-23 11:18:07.631100,2020-09-23 11:18:07.631100,0.001489128443456843,0.16883678264903917,0.16585962286152073,0.0005767131249646296,1.1432465644690186,1.1432465644690186,1.1432465644690186,1.1432465644690186,,,1.1432465644690186,1.0717944186669621,0000
2020-09-23 11:18:07.733300,2020-09-23 11:18:07.733300,0.0014907195782940725,0.16882315408512286,0.16583509144647138,0.0005782378205527671,1.1432465644690186,1.1432465644690186,1.1432465644690186,1.1432465644690186,,,1.1432465644690186,1.0717941801670936,0000
2020-09-23 11:18:07.831500,2020-09-23 11:18:07.831500,0.014290584185325847,21.525776248077477,0.17929185027891367,0.0013429816865150233,0.8753209484213029,0.3124669869333758,0.6028840519941979,0.6073498598182951,,,0.6207472832905868,0.625213091114684,08cf
2020-09-23 11:18:07.933500,2020-09-23 11:18:07.933500,0.0014914214493357628,0.16881497694677308,0.1658494014385835,0.0005795410519772644,1.1432465644690186,1.1432465644690186,1.1432465644690186,1.1432465644690186,,,1.1432465644690186,1.1432466283529121,0000
2020-09-23 11:18:08.028300,2020-09-23 11:18:08.028300,0.22637807864574053,22.86493597419922,0.14869580946531702,0.0008442077632320494,0.008292367857699804,0.0057419865492207,1.107520101876241,1.1432465644690186,,,1.1432465644690186,1.1432465644690186,0fff
2020-09-23 11:18:08.129700,2020-09-23 11:18:08.129700,0.218824800586001,22.864915616531867,15.184708778543026,0.1017886025069539,0.9798874764434532,0.32691149297135774,1.143186219743353,1.1431862878861725,,,1.1431864923146313,1.143186560457451,0fff
2020-09-23 11:18:08.231200,2020-09-23 11:18:08.231200,0.00148540784550769,0.16880475552383584,0.16584463144121278,0.000573958451483045,1.1432465644690186,1.1432465644690186,1.1432465644690186,1.1432465644690186,,,1.1432465644690186,1.0717940779528643,0000
2020-09-23 11:18:08.333800,2020-09-23 11:18:08.333800,0.0014858167024251793,0.1688112290916961,0.165869844284458,0.0005734865624574427,1.107520101876241,1.1432465644690186,1.1432465644690186,1.1432465644690186,,,1.1432465644690186,1.1432467646385511,0000
2020-09-23 11:18:08.435000,2020-09-23 11:18:08.435000,0.0014848218172592883,0.1688204283723396,0.1658531492936605,0.000573544483854087,1.1432465644690186,1.1432465644690186,1.1432465644690186,1.1432465644690186,,,1.1432465644690186,1.0717946912382406,0000
2020-09-23 11:18:08.534100,2020-09-23 11:18:08.534100,0.0014893124290697134,0.16880305195334627,0.1658412243002337,0.0005784678025688548,1.107520101876241,1.1432465644690186,1.1432465644690186,1.1432465644690186,,,1.1432465644690186,1.071794452738372,0000
2020-09-23 11:18:08.637000,2020-09-23 11:18:08.637000,0.0014871761516758314,0.16884393764509523,0.16583815787335254,0.000577207160406596,1.1432465644690186,1.1432465644690186,1.1432465644690186,1.1432465644690186,,,1.1432465644690186,1.0717942142385035,0000
2020-09-23 11:18:08.730200,2020-09-23 11:18:08.730200,0.218824800586001,22.864915616531867,15.173805927409976,0.10179427198954308,0.9798743930220934,0.3307056851656591,1.143186219743353,1.1431862878861725,,,1.1431864923146313,1.143186560457451,0fff
2020-09-23 11:18:08.832800,2020-09-23 11:18:08.832800,0.014290584185325847,21.52577343718617,5.8955256947663015,0.05850532098317414,0.875320722698213,0.026794842685657072,0.6028840519941979,0.6073498598182951,,,0.6207472832905868,0.625213091114684,08cf
